enzymes	ranges	minUsage	maxUsage
usage_prot_O32583_1	0	0	0
usage_prot_P00350_1	0.357375578158079	-0.357375578158079	0
usage_prot_P00363_1	0.0325958683417639	-0.0325958683417639	0
usage_prot_P00363_2	0.0356281746789161	-0.0356281746789161	0
usage_prot_P00370_1	1.17296875548605	-1.17296875548605	0
usage_prot_P00370_2	1.45951931671609	-1.45951931671609	0
usage_prot_P00393_1	0.435589235461172	-0.435589235461172	0
usage_prot_P00393_2	0.481459357728001	-0.481459357728001	0
usage_prot_P00393_3	0.244278269791213	-0.244278269791213	0
usage_prot_P00448_1	0.891298450524107	-0.891298450524107	0
usage_prot_P00452_1	0.159544965455517	-0.159544965455517	0
usage_prot_P00452_2	0.159544965455517	-0.159544965455517	0
usage_prot_P00452_3	0.159544970333564	-0.159544970333564	0
usage_prot_P00452_4	0.159544966249884	-0.159544966249884	0
usage_prot_P00452_5	0.15954502105051	-0.15954502105051	0
usage_prot_P00452_6	0.15954502105051	-0.15954502105051	0
usage_prot_P00452_7	0.15954502105051	-0.15954502105051	0
usage_prot_P00452_8	0.0908740347322309	-0.0908740347322309	0
usage_prot_P00490_1	1.72341944072186	-1.72341944072186	0
usage_prot_P00490_2	1.72341944072186	-1.72341944072186	0
usage_prot_P00490_3	1.72341943312936	-1.72341943312936	0
usage_prot_P00490_4	1.72341944064797	-1.72341944064797	0
usage_prot_P00490_5	1.72341965371673	-1.72341965371673	0
usage_prot_P00490_6	1.72341965371673	-1.72341965371673	0
usage_prot_P00490_7	1.72341965371673	-1.72341965371673	0
usage_prot_P00490_8	1.39077596548838	-1.39077596548838	0
usage_prot_P00509_1	1.72583622690589	-1.72583622690589	0
usage_prot_P00509_2	1.7258156797735	-1.7258156797735	0
usage_prot_P00509_3	1.72564889011332	-1.72564889011332	0
usage_prot_P00509_4	1.72561850047168	-1.72561850047168	0
usage_prot_P00509_5	1.72561853409	-1.72561853409	0
usage_prot_P00509_6	1.72561847364518	-1.72561847364518	0
usage_prot_P00509_7	1.72475257400906	-1.72475257400906	0
usage_prot_P00509_8	1.7237172856596	-1.7237172856596	0
usage_prot_P00509_9	0	0	0
usage_prot_P00547_1	0.0845789519157371	-0.0845789519157371	0
