Subpools	Deltas
usage_prot_P04693_1	-0.00160305230224367
usage_prot_P04693_2	0.0017393629958633
usage_prot_P04693_11	-1.91705908036965e-06
usage_prot_P04693_17	4.69653036816453e-06
usage_prot_P06996_1	-3.42567942652749e-05
usage_prot_P06996_478	-6.88112208990788e-07
usage_prot_P06996_522	3.66921517525043e-05
usage_prot_P07023_1	-4.3090240067512
usage_prot_P07023_2	3.3067298169085
usage_prot_P07023_4	1.2177453901802
usage_prot_P0A6R0_1	-5.79284460400231e-08
usage_prot_P0A6R0_2	6.08248456046567e-08
usage_prot_P0A720_1	-1.78411170281834e-05
usage_prot_P0A720_10	-6.31808114803789e-05
usage_prot_P0A720_14	0.000127732279906922
usage_prot_P0A853_1	-0.0270242422169531
usage_prot_P0A853_2	0.0283754543278292
usage_prot_P0A877_1	-0.0035688536491989
usage_prot_P0A877_2	0.0035688536491989
usage_prot_P0A879_1	-0.00534062722203998
usage_prot_P0A879_2	0.00534062722203998
usage_prot_P0A8H3_1	-0.000413224779663324
usage_prot_P0A8H3_2	0.00043388601864649
usage_prot_P0A9B2_1	-0.469021768722541
usage_prot_P0A9B2_2	0.363051521476677
usage_prot_P0A9B2_4	0.129421335682082
usage_prot_P0A9J4_1	-1.00909176126152e-06
usage_prot_P0A9J4_2	1.05954632090288e-06
usage_prot_P0A9M8_1	-0.00180801014494136
usage_prot_P0A9M8_2	0.00187073776965008
usage_prot_P0A9T0_1	-0.16979857456829
usage_prot_P0A9T0_3	0.178288503296699
usage_prot_P0AAE0_1	-0.00995930405952095
usage_prot_P0AAE0_3	0.0104572692624743
usage_prot_P0ABI4_1	-0.000108313109763003
usage_prot_P0ABI4_2	0.000112412823838705
usage_prot_P0ADC6_1	-1.84391353741375e-06
usage_prot_P0ADC6_2	1.88924559552106e-06
usage_prot_P0ADC6_8	4.68636471850914e-08
usage_prot_P0ADV1_1	-9.36679725782597e-07
usage_prot_P0ADV1_2	9.5969699032139e-07
usage_prot_P0ADV1_7	2.38167103816522e-08
usage_prot_P0AF12_1	-3.42826820087794e-05
usage_prot_P0AF12_2	4.17666524152516e-05
usage_prot_P0AF12_3	-1.48072910755915e-06
usage_prot_P0AF98_1	-1.87823081887473e-06
usage_prot_P0AF98_2	1.92444656477164e-06
usage_prot_P0AF98_7	4.76958348372136e-08
usage_prot_P0AFI7_1	-8.5014612636769e-05
usage_prot_P0AFI7_2	8.92653432629231e-05
usage_prot_P10902_1	-0.000176011948155974
usage_prot_P10902_2	0.000184812545512614
usage_prot_P15639_1	-0.138317687775043
usage_prot_P15639_2	0.103603532167767
usage_prot_P15639_3	0.0687769306963446
usage_prot_P15639_4	-3.41060513164848e-12
usage_prot_P21151_1	-0.0377261270399458
usage_prot_P21151_2	0.0377261270399458
usage_prot_P21151_8	0.0143896430413406
usage_prot_P21151_9	-0.00782384580043072
usage_prot_P21177_1	-0.0336356423199504
usage_prot_P21177_2	0.0347818557220307
usage_prot_P21177_18	0.0771073258949855
usage_prot_P21177_22	-0.0572259944796087
usage_prot_P21177_36	-0.101307477905721
usage_prot_P21177_37	0.103703331257066
usage_prot_P22564_1	-0.0134703385630246
usage_prot_P22564_2	0.0141438554911758
usage_prot_P23721_1	-0.764928210208382
usage_prot_P23721_2	0.649031635941128
usage_prot_P23721_4	0.15414298477765
usage_prot_P23830_1	-0.0038537954488902
usage_prot_P23830_2	0.0038727613386
usage_prot_P23830_3	0.00413150196976304
usage_prot_P23830_6	0.00494681151941931
usage_prot_P23830_10	-0.00848056152995014
usage_prot_P23845_1	-0.00558782171094663
usage_prot_P23845_2	0.0114958997226152
usage_prot_P23845_3	-0.00279316644740653
usage_prot_P24186_1	-0.0605389079414635
usage_prot_P24186_2	0.017656499462849
usage_prot_P24186_3	0.049412227123949
usage_prot_P24186_4	-2.51243470472673e-13
usage_prot_P50457_1	-0.0170302550016004
usage_prot_P50457_2	0.0140939784587317
usage_prot_P50457_5	0.00378778929291457
usage_prot_P60752_1	-0.00576886614283012
usage_prot_P60752_2	0.005781474538
usage_prot_P60752_5	0.00602835007552427
usage_prot_P60752_11	-0.00615358775689856
usage_prot_P60752_12	0.000708751981190845
usage_prot_P69922_1	-1.65305562620142
usage_prot_P69922_2	1.73570840751149
