Subpools	Deltas	Enz1	Enz2
usage_prot_P02918_1	-0.00456199402956	-0.00456199402956	0
usage_prot_P02918_2	0.00456199402958646	0	-0.00456199402958646
usage_prot_P04693_1	-0.00257174887484533	-0.00257174887484533	0
usage_prot_P04693_2	0.00279042724241663	0	-0.00279042724241663
usage_prot_P04693_11	-3.0773583354262e-06	-0.00189105338156208	-0.00188797602322666
usage_prot_P04693_18	7.53910353523679e-06	0	-7.53910353523679e-06
usage_prot_P06986_1	-0.03403547251034	-0.03403547251034	0
usage_prot_P06986_3	0.034035472510368	0	-0.034035472510368
usage_prot_P06996_1	-5.49576856295012e-05	-5.49576856295012e-05	0
usage_prot_P06996_478	-4.59099559058904e-14	-1.10392857139098e-06	-1.10392852548102e-06
usage_prot_P06996_522	5.77607663672097e-05	0	-5.77607663672097e-05
usage_prot_P0A6C5_1	-0.40131319894624	-0.40131319894624	0
usage_prot_P0A6C5_2	0.350164076868509	0	-0.350164076868509
usage_prot_P0A6C5_3	0.0712147820250948	0	-0.0712147820250948
usage_prot_P0A720_1	-2.86222491300547e-05	-2.86222491300547e-05	0
usage_prot_P0A720_3	0.000204919072189114	0	-0.000204919072189114
usage_prot_P0A720_10	-0.000101360073466724	-0.00147011274168007	-0.00136875266821335
usage_prot_P0A7D4_1	-0.218572968581486	-0.218572968581486	0
usage_prot_P0A7D4_3	0.218572968582635	0	-0.218572968582635
usage_prot_P0A853_1	-0.04335460572813	-0.04335460572813	0
usage_prot_P0A853_2	0.0455223360145365	0	-0.0455223360145365
usage_prot_P0A877_1	-0.005725460925788	-0.005725460925788	0
usage_prot_P0A877_2	0.00572546092575976	0	-0.00572546092575976
usage_prot_P0A879_1	-0.00856789195758	-0.00856789195758	0
usage_prot_P0A879_2	0.00856789195756846	0	-0.00856789195756846
usage_prot_P0A8H3_1	-0.000662930610846237	-0.000662930610846237	0
usage_prot_P0A8H3_2	0.000696077141356	0	-0.000696077141356
usage_prot_P0A9J4_1	-1.61887152658694e-06	-1.61887152658694e-06	0
usage_prot_P0A9J4_2	1.69981512954109e-06	0	-1.69981512954109e-06
usage_prot_P0A9L8_1	-0.0856892567284742	-0.0856892567284742	0
usage_prot_P0A9L8_2	0.0378217941963612	0	-0.0378217941963612
usage_prot_P0A9L8_4	0.0521519253685483	0	-0.0521519253685483
usage_prot_P0A9M8_1	-0.00290056484689111	-0.00290056484689111	0
usage_prot_P0A9M8_2	0.00300119787914355	0	-0.00300119787914355
usage_prot_P0A9T0_1	-0.272364817559309	-0.272364817559309	0
usage_prot_P0A9T0_2	0.226451443742576	0	-0.226451443742576
usage_prot_P0A9T0_5	0.0595316146947198	0	-0.0595316146947198
usage_prot_P0AAE0_1	-0.0159775692269673	-0.0159775692269673	0
usage_prot_P0AAE0_2	0.0167764476883157	0	-0.0167764476883157
usage_prot_P0ABB4_1	-21.3703443200847	-21.3703443200847	0
usage_prot_P0ABB4_3	21.9042787119655	0	-21.9042787119655
usage_prot_P0ABB4_4	0.53458282412339	0	-0.53458282412339
usage_prot_P0ABI4_1	-0.000173765174649338	-0.000173765174649338	0
usage_prot_P0ABI4_2	0.000180342287421809	0	-0.000180342287421809
usage_prot_P0AD65_1	-0.0034521553425	-0.0034521553425	0
usage_prot_P0AD65_3	0.0034521553425293	0	-0.0034521553425293
usage_prot_P0AD68_1	-0.00311216680052	-0.00311216680052	0
usage_prot_P0AD68_3	0.00311216680051984	0	-0.00311216680051984
usage_prot_P0ADC6_1	-2.95816419345755e-06	-2.95816419345755e-06	0
usage_prot_P0ADC6_2	3.03088972626176e-06	0	-3.03088972626176e-06
usage_prot_P0ADC6_7	7.51826768686687e-08	0	-7.51826768686687e-08
usage_prot_P0ADV1_1	-1.50270197025341e-06	-1.50270197025341e-06	0
usage_prot_P0ADV1_2	1.53962821514142e-06	0	-1.53962821514142e-06
usage_prot_P0ADV1_7	3.82088956030202e-08	0	-3.82088956030202e-08
usage_prot_P0AF12_1	-5.499921698e-05	-5.499921698e-05	0
usage_prot_P0AF12_2	6.69919122628926e-05	0	-6.69919122628926e-05
usage_prot_P0AF12_3	-2.39249949415479e-06	-0.00013700469732	-0.000134612197825845
usage_prot_P0AF98_1	-3.01321894016516e-06	-3.01321894016516e-06	0
usage_prot_P0AF98_2	3.08736218812555e-06	0	-3.08736218812555e-06
usage_prot_P0AF98_7	7.65177219363977e-08	0	-7.65177219363977e-08
usage_prot_P0AFI7_1	-0.000136387728607228	-0.000136387728607228	0
usage_prot_P0AFI7_2	0.00014320711503759	0	-0.00014320711503759
usage_prot_P10902_1	-0.000282373453566943	-0.000282373453566943	0
usage_prot_P10902_4	0.000296492126267367	0	-0.000296492126267367
usage_prot_P15639_1	-0.221900272508572	-0.221900272508572	0
usage_prot_P15639_2	0.166209053898683	0	-0.166209053898683
usage_prot_P15639_3	0.110337440616263	0	-0.110337440616263
usage_prot_P15639_4	2.48034925931506e-12	-0.871024167669723	-0.871024167672203
usage_prot_P21151_1	-0.0605234866656	-0.0605234866656	0
usage_prot_P21151_2	0.0605234866656019	0	-0.0605234866656019
usage_prot_P21151_9	0.0105334147163469	-0.15014480766064	-0.160678222376987
usage_prot_P21177_1	-0.0539611804648	-0.0539611804648	0
usage_prot_P21177_2	0.0558000342512059	0	-0.0558000342512059
usage_prot_P21177_11	5.55944179581047e-14	-0.1867020075984	-0.186702007598456
usage_prot_P21177_18	0.0764194929297446	0	-0.0764194929297446
usage_prot_P21177_22	-0.05671551217437	-0.26830587208348	-0.21159035990911
usage_prot_P21177_33	-5.27633492453106e-14	-0.0800612615441269	-0.0800612615440741
usage_prot_P21177_36	-0.162526139554478	-0.162526139554478	0
usage_prot_P21177_40	0.178561128074875	0	-0.178561128074875
usage_prot_P23721_1	-1.22719020672895	-1.22719020672895	0
usage_prot_P23721_2	1.04148510612652	0	-1.04148510612652
usage_prot_P23721_5	0.247064610938878	0	-0.247064610938878
usage_prot_P23830_1	-0.00618258898436625	-0.00618258898436625	0
usage_prot_P23830_2	0.00621301569037769	0	-0.00621301569037769
usage_prot_P23830_6	0.0136052437117087	0	-0.0136052437117087
usage_prot_P23830_8	-0.0136052437117	-0.0136052437117	0
usage_prot_P23845_1	-0.00896446254474418	-0.00896446254474418	0
usage_prot_P23845_2	0.0184429658181686	0	-0.0184429658181686
usage_prot_P23845_3	-0.00448133200876159	-0.0909789627485129	-0.0864976307397513
usage_prot_P24186_1	-0.0970972992893621	-0.0970972992893621	0
usage_prot_P24186_2	0.0283189517532492	0	-0.0283189517532492
usage_prot_P24186_3	0.0792514098499169	0	-0.0792514098499169
usage_prot_P24186_4	7.08183511832772e-14	-0.11236394698885	-0.112363946988921
usage_prot_P27302_1	-0.0539103372187345	-0.0539103372187345	0
usage_prot_P27302_2	0.0566058540796348	0	-0.0566058540796348
usage_prot_P45568_1	-1.19135544272624e-06	-1.19135544272624e-06	0
usage_prot_P45568_2	2.0183907736282e-06	0	-2.0183907736282e-06
usage_prot_P50457_1	-0.0273213948096273	-0.0273213948096273	0
usage_prot_P50457_2	0.0190553802364093	0	-0.0190553802364093
usage_prot_P50457_5	0.00963208431369367	0	-0.00963208431369367
usage_prot_P60752_1	-0.00925490954055906	-0.00925490954055906	0
usage_prot_P60752_2	0.00927513700878535	0	-0.00927513700878535
usage_prot_P60752_7	0.0107613789749621	0	-0.0107613789749621
usage_prot_P60752_11	-0.00987211292998164	-0.00987211292998164	0
usage_prot_P60752_12	4.68576101866347e-05	0	-4.68576101866347e-05
usage_prot_Q46822_1	-2.24787688113e-05	-2.24787688113e-05	0
usage_prot_Q46822_2	2.36027073015066e-05	0	-2.36027073015066e-05
